#chrom	start	end	name	score	strand	thickStart	thickEnd	itemRGB	blockCount	blockSizes	blockStart	deepTools_group		
chrXIII	298306	298475	YMR013W-A	.	+	298306	298475	0	1	169	298304	Q1		4928
chrXII	388579	388789	YLR120W-A	.	+	388579	388789	0	1	210	388576	Q1		1232
chrXV	867914	868200	YOR293C-A	.	-	867914	868200	0	1	286	867906	Q1		
chrIV	1385147	1385434	YDR461W	.	+	1385147	1385434	0	1	287	1385146	Q1		
chrXIII	252998	253293	YML007C-A	.	-	252998	253293	0	1	295	252996	Q1		
chrIV	221522	221819	YDL133C-A	.	-	221522	221819	0	1	297	221520	Q1		
chrII	565213	565513	YBR162W-A	.	+	565213	565513	0	1	300	565208	Q1		
chrXII	433842	434144	YLR146W-A	.	+	433842	434144	0	1	302	433838	Q1		
chrXIV	441301	441607	YNL097W-A	.	+	441301	441607	0	1	306	441297	Q1		
chrIV	130196	130506	YDL184C	.	-	130196	130506	0	1	310	130195	Q1		
chrXII	669372	669684	YLR262C-A	.	-	669372	669684	0	1	312	669366	Q1		
chrII	28371	28686	YBL100W-C	.	+	28371	28686	0	1	315	28369	Q1		
chrVI	103683	103998	YFL017W-A	.	+	103683	103998	0	1	315	103682	Q1		
chrIV	1108200	1108521	YDR320C-A	.	-	1108200	1108521	0	1	321	1108199	Q1		
chrIII	248960	249282	YCR075W-A	.	+	248960	249282	0	1	322	248958	Q1		
chrIX	350272	350600	YIL002W-A	.	+	350272	350600	0	1	328	350269	Q1		
chrXIV	352372	352705	YNL145W	.	+	352372	352705	0	1	333	352369	Q1		
chrXVI	30048	30384	YPL271W	.	+	30048	30384	0	1	336	30045	Q1		
chrI	73370	73710	YAL037C-A	.	-	73370	73710	0	1	340	73363	Q1		
chrXIV	157553	157894	YNL259C	.	-	157553	157894	0	1	341	157552	Q1		
chrXVI	797527	797868	YPR133W-A	.	+	797527	797868	0	1	341	797520	Q1		
chrXV	389188	389532	YOR031W	.	+	389188	389532	0	1	344	389185	Q1		
chrXIII	652546	652891	YMR194C-B	.	-	652546	652891	0	1	345	652540	Q1		
chrXIII	103874	104221	YML081C-A	.	-	103874	104221	0	1	347	103873	Q1		
chrXV	648672	649019	YOR167C	.	-	648672	649019	0	1	347	648666	Q1		
chrXV	254738	255085	YOL038C-A	.	-	254738	255085	0	1	347	254736	Q1		
chrIII	24002	24351	YCL057C-A	.	-	24002	24351	0	1	349	24000	Q1		
chrV	42346	42701	YEL059C-A	.	-	42346	42701	0	1	355	42342	Q1		
chrXIV	687140	687496	YNR032C-A	.	-	687140	687496	0	1	356	687134	Q1		
chrXII	341290	341649	YLR099W-A	.	+	341290	341649	0	1	359	341287	Q1		
chrVIII	175143	175502	YHR032W-A	.	+	175143	175502	0	1	359	175142	Q1		
chrV	194217	194584	YER019C-A	.	-	194217	194584	0	1	367	194216	Q1		
chrXIV	605330	605699	YNL015W	.	+	605330	605699	0	1	369	605324	Q1		
chrVIII	241628	241998	YHR072W-A	.	+	241628	241998	0	1	370	241626	Q1		
chrXV	185403	185774	YOL077W-A	.	+	185403	185774	0	1	371	185402	Q1		
chrXIV	493312	493685	YNL070W	.	+	493312	493685	0	1	373	493308	Q1		
chrXIII	778777	779156	YMR256C	.	-	778777	779156	0	1	379	778770	Q1		
chrX	294667	295047	YJL077W-A	.	+	294667	295047	0	1	380	294665	Q1		
chrXI	356278	356658	YKL044W	.	+	356278	356658	0	1	380	356275	Q1		
chrII	680313	680694	YBR230W-A	.	+	680313	680694	0	1	381	680307	Q1		
chrX	676950	677332	YJR135W-A	.	+	676950	677332	0	1	382	676944	Q1		
chrXII	131084	131466	YLL009C	.	-	131084	131466	0	1	382	131083	Q1		
chrXVI	366394	366777	YPL096C-A	.	-	366394	366777	0	1	383	366391	Q1		
chrXV	820419	820805	YOR265W	.	+	820419	820805	0	1	386	820411	Q1		
chrXIII	158710	159098	YML058W-A	.	+	158710	159098	0	1	388	158709	Q1		
chrVII	785105	785493	YGR146C-A	.	-	785105	785493	0	1	388	785098	Q1		
chrV	550777	551170	YER180C-A	.	-	550777	551170	0	1	393	550772	Q1		
chrXIII	251161	251558	YML009C	.	-	251161	251558	0	1	397	251159	Q1		
chrXV	413794	414193	YOR045W	.	+	413794	414193	0	1	399	413790	Q1		
chrVIII	238845	239245	YHR071C-A	.	-	238845	239245	0	1	400	238843	Q1		
chrXVI	900131	900531	YPR182W	.	+	900131	900531	0	1	400	900122	Q1		
chrXV	1025242	1025642	YOR366W	.	+	1025242	1025642	0	1	400	1025241	Q1		
chrII	237077	237478	YBL001C	.	-	237077	237478	0	1	401	237075	Q1		
chrIV	1013283	1013684	YDR276C	.	-	1013283	1013684	0	1	401	1013282	Q1		
chrXVI	528975	529377	YPL013C	.	-	528975	529377	0	1	402	528970	Q1		
chrXIII	841924	842326	YMR286W	.	+	841924	842326	0	1	402	841916	Q1		
chrXIII	609996	610399	YMR174C	.	-	609996	610399	0	1	403	609990	Q1		
chrII	595203	595606	YBR182C-A	.	-	595203	595606	0	1	403	595198	Q1		
chrV	117159	117566	YEL020W-A	.	+	117159	117566	0	1	407	117158	Q1		
chrXII	447914	448323	YLR154C	.	-	447914	448323	0	1	409	447910	Q1		
chrX	159452	159862	YJL133C-A	.	-	159452	159862	0	1	410	159451	Q1		
chrXII	853450	853863	YLR363W-A	.	+	853450	853863	0	1	413	853442	Q1		
chrV	462538	462951	YER146W	.	+	462538	462951	0	1	413	462534	Q1		
chrXV	159124	159539	YOL086W-A	.	+	159124	159539	0	1	415	159123	Q1		
chrVII	910407	910824	YGR206W	.	+	910407	910824	0	1	417	910398	Q1		
chrXII	1013823	1014240	YLR438C-A	.	-	1013823	1014240	0	1	417	1013822	Q1		
chrIII	228090	228507	YCR064C	.	-	228090	228507	0	1	417	228088	Q1		
chrXIV	694940	695358	YNR037C	.	-	694940	695358	0	1	418	694934	Q1		
chrIV	38467	38885	YDL232W	.	+	38467	38885	0	1	418	38464	Q1		
chrXIII	14344	14763	YML129C	.	-	14344	14763	0	1	419	14343	Q1		
chrIV	871065	871484	YDR210W	.	+	871065	871484	0	1	419	871057	Q1		
chrIV	521275	521698	YDR034W-B	.	+	521275	521698	0	1	423	521270	Q1		
chrIX	268115	268541	YIL046W-A	.	+	268115	268541	0	1	426	268113	Q1		
chrXIII	472847	473275	YMR103C	.	-	472847	473275	0	1	428	472843	Q1		
chrIII	23561	23990	YCL058W-A	.	+	23561	23990	0	1	429	23559	Q1		
chrXI	403490	403920	YKL018C-A	.	-	403490	403920	0	1	430	403486	Q1		
chrX	50020	50452	YJL205C	.	-	50020	50452	0	1	432	50015	Q1		
chrXII	854011	854444	YLR364W	.	+	854011	854444	0	1	433	854003	Q1		
chrII	741280	741713	YBR268W	.	+	741280	741713	0	1	433	741273	Q1		
chrXII	231607	232040	YLR043C	.	-	231607	232040	0	1	433	231605	Q1		
chrIV	1385355	1385788	YDR461C-A	.	-	1385355	1385788	0	1	433	1385354	Q1		
chrIV	372223	372656	YDL045W-A	.	+	372223	372656	0	1	433	372220	Q1		
chrXVI	720595	721030	YPR094W	.	+	720595	721030	0	1	435	720588	Q1		
chrIV	1035144	1035581	YDR286C	.	-	1035144	1035581	0	1	437	1035143	Q1		
chrV	7128	7566	YEL073C	.	-	7128	7566	0	1	438	7121	Q1		
chrIII	154666	155104	YCR020C-A	.	-	154666	155104	0	1	438	154665	Q1		
chrIV	1233123	1233562	YDR379C-A	.	-	1233123	1233562	0	1	439	1233122	Q1		
chrIV	478351	478791	YDR016C	.	-	478351	478791	0	1	440	478347	Q1		
chrXV	359956	360400	YOR015W	.	+	359956	360400	0	1	444	359953	Q1		
chrXV	273920	274364	YOL026C	.	-	273920	274364	0	1	444	273918	Q1		
chrI	57516	57961	YAL044W-A	.	+	57516	57961	0	1	445	57511	Q1		
chrXII	434049	434494	YLR147C	.	-	434049	434494	0	1	445	434045	Q1		
chrIV	174174	174623	YDL157C	.	-	174174	174623	0	1	449	174173	Q1		
chrIII	60746	61195	YCL035C	.	-	60746	61195	0	1	449	60740	Q1		
chrXV	315761	316212	YOL005C	.	-	315761	316212	0	1	451	315758	Q1		
chrVII	912829	913280	YGR209C	.	-	912829	913280	0	1	451	912820	Q1		
chrXV	256625	257077	YOL037C	.	-	256625	257077	0	1	452	256623	Q1		
chrIII	26909	27361	YCL056C	.	-	26909	27361	0	1	452	26907	Q1		
chrIV	135092	135545	YDL181W	.	+	135092	135545	0	1	453	135091	Q1		
chrXII	247994	248448	YLR053C	.	-	247994	248448	0	1	454	247992	Q1		
chrX	96083	96537	YJL173C	.	-	96083	96537	0	1	454	96074	Q1		
chrII	723208	723663	YBR253W	.	+	723208	723663	0	1	455	723201	Q1		
chrVIII	115478	115935	YHR005C-A	.	-	115478	115935	0	1	457	115477	Q1		
chrX	585024	585481	YJR085C	.	-	585024	585481	0	1	457	585019	Q1		
chrII	167428	167885	YBL028C	.	-	167428	167885	0	1	457	167427	Q1		
chrVII	73334	73792	YGL226W	.	+	73334	73792	0	1	458	73327	Q1		
chrXI	278262	278720	YKL086W	.	+	278262	278720	0	1	458	278260	Q1		
chrXV	370422	370882	YOR020C	.	-	370422	370882	0	1	460	370419	Q1		
chrII	427064	427525	YBR091C	.	-	427064	427525	0	1	461	427060	Q1		
chrVIII	75373	75834	YHL015W	.	+	75373	75834	0	1	461	75366	Q1		
chrIV	603380	603844	YDR079C-A	.	-	603380	603844	0	1	464	603374	Q1		
chrII	735620	736084	YBR262C	.	-	735620	736084	0	1	464	735613	Q1		
chrXI	339064	339528	YKL053C-A	.	-	339064	339528	0	1	464	339061	Q1		
chrX	316693	317157	YJL062W-A	.	+	316693	317157	0	1	464	316690	Q1		
chrXII	933800	934265	YLR408C	.	-	933800	934265	0	1	465	933791	Q1		
chrIV	1224735	1225202	YDR374W-A	.	+	1224735	1225202	0	1	467	1224734	Q1		
chrIV	333966	334433	YDL067C	.	-	333966	334433	0	1	467	333963	Q1		
chrIII	162408	162876	YCR024C-B	.	-	162408	162876	0	1	468	162407	Q1		
chrIV	169168	169636	YDL160C-A	.	-	169168	169636	0	1	468	169167	Q1		
chrXII	849213	849682	YLR361C-A	.	-	849213	849682	0	1	469	849205	Q1		
chrVII	617383	617852	YGR063C	.	-	617383	617852	0	1	469	617377	Q1		
chrXV	371658	372128	YOR020W-A	.	+	371658	372128	0	1	470	371655	Q1		
chrVII	698540	699010	YGR105W	.	+	698540	699010	0	1	470	698534	Q1		
chrIV	682134	682606	YDR115W	.	+	682134	682606	0	1	472	682128	Q1		
chrIV	1202105	1202577	YDR363W-A	.	+	1202105	1202577	0	1	472	1202104	Q1		
chrXIV	692488	692960	YNR034W-A	.	+	692488	692960	0	1	472	692482	Q1		
chrII	356152	356625	YBR058C-A	.	-	356152	356625	0	1	473	356149	Q1		
chrVII	635550	636024	YGR073C	.	-	635550	636024	0	1	474	635544	Q1		
chrVII	922123	922599	YGR215W	.	+	922123	922599	0	1	476	922114	Q1		
chrXI	625849	626326	YKR095W-A	.	+	625849	626326	0	1	477	625843	Q1		
chrXVI	927838	928316	YPR195C	.	-	927838	928316	0	1	478	927829	Q1		
chrVII	524242	524720	YGR018C	.	-	524242	524720	0	1	478	524237	Q1		
chrXVI	195185	195664	YPL185W	.	+	195185	195664	0	1	479	195184	Q1		
chrII	645511	645991	YBR210W	.	+	645511	645991	0	1	480	645505	Q1		
