#chrom	start	end	name	score	strand	thickStart	thicEnd	itemRGB	blockCount	blockSizes	blockStart	deepTools_group
II	9834	10551	YBL107C	.	-	9834	10551	0	1	717	9825	Q1
XI	226402	228906	YKL112W	.	+	226402	228906	0	1	2504	226400	Q1
XI	154966	158376	YKL157W	.	+	154966	158376	0	1	3410	154965	Q1
XI	161520	162400	YKL154W	.	+	161520	162400	0	1	880	161519	Q1
IX	403631	404892	YIR025W	.	+	403631	404892	0	1	1261	403627	Q1
IV	1067687	1068463	YDR302W	.	+	1067687	1068463	0	1	776	1067686	Q1
XII	493528	494490	YLR164W	.	+	493528	494490	0	1	962	493524	Q1
XIV	58809	59822	YNL305C	.	-	58809	59822	0	1	1013	58804	Q1
X	164196	165379	YJL131C	.	-	164196	165379	0	1	1183	164195	Q1
IV	1130975	1133149	YDR332W	.	+	1130975	1133149	0	1	2174	1130974	Q1
X	50556	53187	YJL204C	.	-	50556	53187	0	1	2631	50551	Q1
XV	204588	205912	YOL065C	.	-	204588	205912	0	1	1324	204586	Q1
X	587581	590662	YJR089W	.	+	587581	590662	0	1	3081	587576	Q1
XVI	815554	818096	YPR141C	.	-	815554	818096	0	1	2542	815546	Q1
XII	413216	415680	YLR135W	.	+	413216	415680	0	1	2464	413212	Q1
VII	1046720	1048534	YGR278W	.	+	1046720	1048534	0	1	1814	1046719	Q1
II	47262	48650	YBL091C	.	-	47262	48650	0	1	1388	47258	Q1
XV	511763	513101	YOR099W	.	+	511763	513101	0	1	1338	511758	Q1
XIV	742566	743626	YNR061C	.	-	742566	743626	0	1	1060	742559	Q1
I	158863	159890	YAR008W	.	+	158863	159890	0	1	1027	158862	Q1
VII	245401	248436	YGL139W	.	+	245401	248436	0	1	3035	245399	Q1
XII	302186	306866	YLR086W	.	+	302186	306866	0	1	4680	302183	Q1
XVI	419959	420564	YPL071C	.	-	419959	420564	0	1	605	419955	Q1
III	249187	250062	YCR076C	.	-	249187	250062	0	1	875	249185	Q1
VII	266098	267671	YGL130W	.	+	266098	267671	0	1	1573	266096	Q1
IV	693464	694283	YDR121W	.	+	693464	694283	0	1	819	693458	Q1
IV	1214909	1217592	YDR369C	.	-	1214909	1217592	0	1	2683	1214908	Q1
VII	228341	229724	YGL146C	.	-	228341	229724	0	1	1383	228339	Q1
IV	955643	957770	YDR247W	.	+	955643	957770	0	1	2127	955634	Q1
XI	450331	451228	YKR006C	.	-	450331	451228	0	1	897	450327	Q1
VIII	71922	74501	YHL016C	.	-	71922	74501	0	1	2579	71915	Q1
XV	104146	106386	YOL113W	.	+	104146	106386	0	1	2240	104145	Q1
XI	134288	135737	YKL166C	.	-	134288	135737	0	1	1449	134287	Q1
XVI	758647	759850	YPR116W	.	+	758647	759850	0	1	1203	758640	Q1
VIII	284745	286807	YHR091C	.	-	284745	286807	0	1	2062	284743	Q1
II	245816	246698	YBR005W	.	+	245816	246698	0	1	882	245814	Q1
X	695872	697065	YJR141W	.	+	695872	697065	0	1	1193	695866	Q1
XIII	451559	453561	YMR092C	.	-	451559	453561	0	1	2002	451555	Q1
XIV	43214	44290	YNL315C	.	-	43214	44290	0	1	1076	43210	Q1
XII	879671	881941	YLR381W	.	+	879671	881941	0	1	2270	879663	Q1
II	757549	760138	YBR276C	.	-	757549	760138	0	1	2589	757542	Q1
X	330319	333174	YJL056C	.	-	330319	333174	0	1	2855	330316	Q1
XI	265928	269535	YKL092C	.	-	265928	269535	0	1	3607	265926	Q1
II	292760	294022	YBR026C	.	-	292760	294022	0	1	1262	292758	Q1
XII	346544	347041	YLR104W	.	+	346544	347041	0	1	497	346541	Q1
XII	1004068	1006021	YLR433C	.	-	1004068	1006021	0	1	1953	1004067	Q1
VIII	297284	298732	YHR097C	.	-	297284	298732	0	1	1448	297282	Q1
V	342851	343487	YER092W	.	+	342851	343487	0	1	636	342848	Q1
I	156680	158682	YAR007C	.	-	156680	158682	0	1	2002	156679	Q1
XVI	364923	366543	YPL097W	.	+	364923	366543	0	1	1620	364920	Q1
XIV	418859	419864	YNL108C	.	-	418859	419864	0	1	1005	418855	Q1
XIV	739920	742170	YNR060W	.	+	739920	742170	0	1	2250	739913	Q1
XII	1019215	1022324	YLR442C	.	-	1019215	1022324	0	1	3109	1019214	Q1
III	211874	213976	YCR048W	.	+	211874	213976	0	1	2102	211872	Q1
V	212493	213243	YER029C	.	-	212493	213243	0	1	750	212491	Q1
II	484703	486754	YBR123C	.	-	484703	486754	0	1	2051	484699	Q1
VII	330970	334644	YGL094C	.	-	330970	334644	0	1	3674	330967	Q1
XIV	418868	419885	YNL109W	.	+	418868	419885	0	1	1017	418864	Q1
VII	381449	383215	YGL064C	.	-	381449	383215	0	1	1766	381446	Q1
III	92635	94364	YCL017C	.	-	92635	94364	0	1	1729	92626	Q1
IV	1110562	1111798	YDR322W	.	+	1110562	1111798	0	1	1236	1110561	Q1
V	42346	42701	YEL059C-A	.	-	42346	42701	0	1	355	42342	Q1
IX	151550	154976	YIL112W	.	+	151550	154976	0	1	3426	151549	Q1
XIII	899199	901345	YMR313C	.	-	899199	901345	0	1	2146	899191	Q1
IV	405289	407406	YDL025W-A	.	+	405289	407406	0	1	2117	405285	Q1
XIV	383933	387002	YNL127W	.	+	383933	387002	0	1	3069	383930	Q1
IX	347772	348516	YIL004C	.	-	347772	348516	0	1	744	347769	Q1
X	181822	184288	YJL127C	.	-	181822	184288	0	1	2466	181821	Q1
XI	122491	125646	YKL173W	.	+	122491	125646	0	1	3155	122490	Q1
XIII	209456	212323	YML034W	.	+	209456	212323	0	1	2867	209454	Q1
V	553241	553970	YER183C	.	-	553241	553970	0	1	729	553236	Q1
I	45758	48322	YAL053W	.	+	45758	48322	0	1	2564	45754	Q1
XII	364099	365434	YLR107W	.	+	364099	365434	0	1	1335	364096	Q1
XI	497470	499838	YKR029C	.	-	497470	499838	0	1	2368	497466	Q1
XI	473569	475939	YKR018C	.	-	473569	475939	0	1	2370	473565	Q1
XII	556778	559347	YLR207W	.	+	556778	559347	0	1	2569	556773	Q1
XIII	463844	464850	YMR099C	.	-	463844	464850	0	1	1006	463840	Q1
XIII	522120	523437	YMR127C	.	-	522120	523437	0	1	1317	522115	Q1
XV	1044705	1046119	YOR376W-A	.	+	1044705	1046119	0	1	1414	1044704	Q1
XII	175173	176916	YLR015W	.	+	175173	176916	0	1	1743	175172	Q1
XI	417335	418068	YKL013C	.	-	417335	418068	0	1	733	417331	Q1
XV	139161	141380	YOL095C	.	-	139161	141380	0	1	2219	139160	Q1
V	145833	146795	YEL005C	.	-	145833	146795	0	1	962	145832	Q1
XVI	892301	893820	YPR178W	.	+	892301	893820	0	1	1519	892293	Q1
XI	599013	599700	YKR085C	.	-	599013	599700	0	1	687	599008	Q1
XIV	169985	171442	YNL253W	.	+	169985	171442	0	1	1457	169984	Q1
XIII	279941	280523	YMR007W	.	+	279941	280523	0	1	582	279939	Q1
IX	360871	362994	YIR003W	.	+	360871	362994	0	1	2123	360868	Q1
III	247888	248825	YCR075C	.	-	247888	248825	0	1	937	247886	Q1
IV	1225107	1226557	YDR375C	.	-	1225107	1226557	0	1	1450	1225106	Q1
IX	89865	92816	YIL137C	.	-	89865	92816	0	1	2951	89857	Q1
VII	1050688	1051753	YGR280C	.	-	1050688	1051753	0	1	1065	1050687	Q1
XII	267733	270800	YLR067C	.	-	267733	270800	0	1	3067	267731	Q1
X	36866	37797	YJL210W	.	+	36866	37797	0	1	931	36863	Q1
XIII	74230	77063	YML099C	.	-	74230	77063	0	1	2833	74223	Q1
XVI	539148	542048	YPL008W	.	+	539148	542048	0	1	2900	539143	Q1
XIV	690208	691534	YNR034W	.	+	690208	691534	0	1	1326	690202	Q1
XIII	315275	316994	YMR020W	.	+	315275	316994	0	1	1719	315272	Q1
XI	438703	439429	YKL001C	.	-	438703	439429	0	1	726	438699	Q1
XIII	855305	856823	YMR293C	.	-	855305	856823	0	1	1518	855297	Q1
XV	783669	784660	YOR238W	.	+	783669	784660	0	1	991	783662	Q1
XII	504303	505912	YLR174W	.	+	504303	505912	0	1	1609	504298	Q1
VII	210333	213815	YGL156W	.	+	210333	213815	0	1	3482	210331	Q1
XIV	392863	394475	YNL124W	.	+	392863	394475	0	1	1612	392860	Q1
XIII	30590	31744	YML119W	.	+	30590	31744	0	1	1154	30587	Q1
III	154666	155104	YCR020C-A	.	-	154666	155104	0	1	438	154665	Q1
XIV	298265	299643	YNL181W	.	+	298265	299643	0	1	1378	298263	Q1
X	303060	305205	YJL073W	.	+	303060	305205	0	1	2145	303057	Q1
